Date,x,y
01 February 2021,1857.36,1836.48
02 February 2021,1836.48,1834.36
03 February 2021,1834.36,1795.54
04 February 2021,1795.54,1814.25
05 February 2021,1814.25,1830.61
08 February 2021,1830.61,1836.25
09 February 2021,1836.25,1842.08
10 February 2021,1842.08,1826.82
11 February 2021,1826.82,1824.77
12 February 2021,1824.77,1818.73
15 February 2021,1818.73,1788.48
16 February 2021,1788.48,1778.27
17 February 2021,1778.27,1771.52
18 February 2021,1771.52,1784.28
19 February 2021,1784.28,1810.67
22 February 2021,1810.67,1805.99
23 February 2021,1805.99,1803.10
24 February 2021,1803.10,1770.69
25 February 2021,1770.69,1734.78
